"DATE","PX_LAST"
"2007-03-20",100.
"2007-03-21",100.03250122070312
"2007-03-22",100.05979919433594
"2007-03-23",100.09449768066406
"2007-03-26",100.14630126953125
"2007-03-27",100.15850067138672
"2007-03-28",100.1707992553711
"2007-03-29",100.18399810791016
"2007-03-30",100.20020294189453
"2007-04-02",100.23470306396484
"2007-04-03",100.24600219726562
"2007-04-04",100.26010131835938
"2007-04-05",100.27539825439453
"2007-04-10",100.33290100097656
"2007-04-11",100.34190368652344
"2007-04-12",100.35919952392578
"2007-04-13",100.37010192871094
"2007-04-16",100.40789794921875
"2007-04-17",100.42130279541016
"2007-04-18",100.43569946289062
"2007-04-19",100.44499969482422
"2007-04-20",100.45600128173828
"2007-04-23",100.4968032836914
"2007-04-24",100.51020050048828
"2007-04-25",100.51679992675781
"2007-04-26",100.52210235595703
"2007-04-27",100.51850128173828
"2007-04-30",100.54660034179688
"2007-05-01",100.54329681396484
"2007-05-02",100.55439758300781
"2007-05-03",100.56939697265625
"2007-05-04",100.58039855957031
"2007-05-08",100.62409973144531
"2007-05-09",100.63529968261719
"2007-05-10",100.6509017944336
"2007-05-11",100.6592025756836
"2007-05-14",100.69120025634766
"2007-05-15",100.70079803466797
"2007-05-16",100.71299743652344
"2007-05-17",100.72039794921875
"2007-05-18",100.73419952392578
"2007-05-21",100.7750015258789
"2007-05-22",100.79560089111328
"2007-05-23",100.80680084228516
"2007-05-24",100.82019805908203
"2007-05-25",100.83190155029297
"2007-05-29",100.87650299072266
"2007-05-30",100.88700103759766
"2007-05-31",100.89779663085938
"2007-06-01",100.91100311279297
"2007-06-04",100.94380187988281
"2007-06-05",100.95770263671875
"2007-06-06",100.96710205078125
"2007-06-07",100.97740173339844
"2007-06-08",100.98789978027344
"2007-06-11",101.01899719238281
"2007-06-12",101.02980041503906
"2007-06-13",101.04389953613281
"2007-06-14",101.05010223388672
"2007-06-15",101.06670379638672
"2007-06-18",101.09919738769531
"2007-06-19",101.11100006103516
"2007-06-20",101.12169647216797
"2007-06-21",101.13330078125
"2007-06-22",101.1229019165039
"2007-06-25",101.14070129394531
"2007-06-26",101.11849975585938
"2007-06-27",101.12169647216797
"2007-06-28",101.13359832763672
"2007-06-29",101.1406021118164
"2007-07-02",101.14749908447266
"2007-07-03",101.14350128173828
"2007-07-04",101.17140197753906
"2007-07-05",101.20279693603516
"2007-07-06",101.19889831542969
"2007-07-09",101.24549865722656
"2007-07-10",101.2417984008789
"2007-07-11",101.2177963256836
"2007-07-12",101.20829772949219
"2007-07-13",101.2251968383789
"2007-07-16",101.27249908447266
"2007-07-17",101.26830291748047
"2007-07-18",101.24430084228516
"2007-07-19",101.26110076904297
"2007-07-20",101.20790100097656
"2007-07-23",100.89219665527344
"2007-07-24",100.9030990600586
"2007-07-25",100.94840240478516
"2007-07-26",100.65809631347656
"2007-07-27",100.08789825439453
"2007-07-30",100.00309753417969
"2007-07-31",100.5781021118164
"2007-08-01",100.22360229492188
"2007-08-02",100.2748031616211
"2007-08-03",100.2334976196289
"2007-08-06",100.04900360107422
"2007-08-07",100.25659942626953
"2007-08-08",100.55069732666016
"2007-08-09",100.35199737548828
"2007-08-10",100.09639739990234
"2007-08-13",100.24639892578125
"2007-08-14",100.1708984375
"2007-08-15",100.05599975585938
"2007-08-16",99.90869903564453
"2007-08-17",99.97209930419922
"2007-08-20",100.17780303955078
"2007-08-21",100.17749786376953
"2007-08-22",100.41349792480469
"2007-08-23",100.53240203857422
"2007-08-24",100.43890380859375
"2007-08-28",100.41799926757812
"2007-08-29",100.32820129394531
"2007-08-30",100.2583999633789
"2007-08-31",100.347900390625
"2007-09-03",100.3895034790039
"2007-09-04",100.40869903564453
"2007-09-05",100.42070007324219
"2007-09-06",100.33650207519531
"2007-09-07",100.2332992553711
"2007-09-10",100.12429809570312
"2007-09-11",100.16590118408203
"2007-09-12",100.21949768066406
"2007-09-13",100.4126968383789
"2007-09-14",100.52059936523438
"2007-09-17",100.58399963378906
"2007-09-18",100.83350372314453
"2007-09-19",100.9917984008789
"2007-09-20",101.11540222167969
"2007-09-21",101.35099792480469
"2007-09-24",101.54149627685547
"2007-09-25",101.49919891357422
"2007-09-26",101.4541015625
"2007-09-27",101.4312973022461
"2007-09-28",101.381103515625
"2007-10-01",101.38629913330078
"2007-10-02",101.47160339355469
"2007-10-03",101.48470306396484
"2007-10-04",101.5344009399414
"2007-10-05",101.61869812011719
"2007-10-08",101.67510223388672
"2007-10-09",101.76319885253906
"2007-10-10",101.92359924316406
"2007-10-11",101.9531021118164
"2007-10-12",101.97699737548828
"2007-10-15",102.03130340576172
"2007-10-16",101.94979858398438
"2007-10-17",101.84750366210938
"2007-10-18",101.5353012084961
"2007-10-19",101.56449890136719
"2007-10-22",101.54409790039062
"2007-10-23",101.68289947509766
"2007-10-24",101.65229797363281
"2007-10-25",101.62840270996094
"2007-10-26",101.62370300292969
"2007-10-29",101.60569763183594
"2007-10-30",101.57959747314453
"2007-10-31",101.56770324707031
"2007-11-01",101.32959747314453
"2007-11-02",101.1675033569336
"2007-11-05",101.09249877929688
"2007-11-06",101.29350280761719
"2007-11-07",101.22949981689453
"2007-11-08",101.15640258789062
"2007-11-09",100.97470092773438
"2007-11-12",100.81659698486328
"2007-11-13",100.87480163574219
"2007-11-14",101.07219696044922
"2007-11-15",101.12449645996094
"2007-11-16",101.018798828125
"2007-11-19",100.96659851074219
"2007-11-20",100.87359619140625
"2007-11-21",100.57569885253906
"2007-11-22",100.6041030883789
"2007-11-23",100.79450225830078
